Gene ID,Genomic Location (Gene),Gene Name or Symbol
PF3D7_0614500,"Pf3D7_06_v3:605,437..608,581(-)",RPL19
PF3D7_0614600,"Pf3D7_06_v3:609,088..611,451(-)",N/A
PF3D7_0614700,"Pf3D7_06_v3:612,082..614,491(+)",N/A
PF3D7_0614800,"Pf3D7_06_v3:615,060..617,043(-)",NTHL1
PF3D7_0614900,"Pf3D7_06_v3:617,589..622,087(+)",N/A
PF3D7_0615000,"Pf3D7_06_v3:622,098..623,014(+)",N/A
PF3D7_0615100,"Pf3D7_06_v3:622,767..624,490(-)",ENR
PF3D7_0615200,"Pf3D7_06_v3:625,120..627,612(+)",N/A
PF3D7_0615300,"Pf3D7_06_v3:627,693..630,345(-)",GWT1
PF3D7_0615400,"Pf3D7_06_v3:630,396..642,340(-)",N/A
PF3D7_0615500,"Pf3D7_06_v3:642,699..646,241(+)",CRK5
PF3D7_0615600,"Pf3D7_06_v3:646,286..655,848(-)",N/A
PF3D7_0615700,"Pf3D7_06_v3:656,020..657,929(+)",ALYREF
PF3D7_0615800,"Pf3D7_06_v3:657,706..662,270(-)",COG4
PF3D7_0615900,"Pf3D7_06_v3:662,372..669,026(-)",N/A
PF3D7_0616000,"Pf3D7_06_v3:669,060..671,828(+)",PDXK
PF3D7_0616100,"Pf3D7_06_v3:671,851..672,965(+)",N/A
PF3D7_0616200,"Pf3D7_06_v3:674,071..676,647(+)",NDC80
PF3D7_0616300,"Pf3D7_06_v3:676,559..677,881(-)",N/A
PF3D7_0616400,"Pf3D7_06_v3:678,087..684,110(+)",N/A
PF3D7_0616500,"Pf3D7_06_v3:684,742..688,857(+)",TLP
PF3D7_0616600,"Pf3D7_06_v3:689,086..691,142(-)",N/A
PF3D7_0616700,"Pf3D7_06_v3:691,710..694,810(-)",N/A
PF3D7_0616800,"Pf3D7_06_v3:695,090..698,245(+)",MQO
PF3D7_0616900,"Pf3D7_06_v3:698,792..704,220(+)",N/A
PF3D7_0617000,"Pf3D7_06_v3:703,477..705,444(-)",TOM40
PF3D7_0617100,"Pf3D7_06_v3:707,666..714,669(+)",N/A
PF3D7_0617200,"Pf3D7_06_v3:714,972..720,182(+)",N/A
PF3D7_0617300,"Pf3D7_06_v3:720,336..721,721(+)",N/A
PF3D7_0617400,"Pf3D7_06_v3:722,377..731,499(-)",VAR
PF3D7_0617500,"Pf3D7_06_v3:735,309..736,327(+)",RIF
PF3D7_0617600,"Pf3D7_06_v3:738,020..739,535(-)",N/A
PF3D7_0617700,"Pf3D7_06_v3:741,269..742,406(-)",RIF
PF3D7_0617800,"Pf3D7_06_v3:747,329..749,285(-)",H2A
PF3D7_0617900,"Pf3D7_06_v3:753,392..756,429(+)",H3.3
PF3D7_0618000,"Pf3D7_06_v3:757,278..761,654(+)",N/A
PF3D7_0618100,"Pf3D7_06_v3:761,703..764,548(+)",N/A
PF3D7_0618200,"Pf3D7_06_v3:764,260..765,980(-)",N/A
PF3D7_0618300,"Pf3D7_06_v3:767,672..769,944(+)",N/A
PF3D7_0618400,"Pf3D7_06_v3:770,147..772,506(-)",N/A
PF3D7_0618500,"Pf3D7_06_v3:774,491..776,051(+)",MDH
PF3D7_0618600,"Pf3D7_06_v3:775,980..777,835(-)",ROM10
PF3D7_0618700,"Pf3D7_06_v3:778,651..779,988(+)",N/A
PF3D7_0618800,"Pf3D7_06_v3:779,480..783,561(-)",N/A
PF3D7_0618900,"Pf3D7_06_v3:784,019..788,588(+)",GPI1
PF3D7_0618900,"Pf3D7_06_v3:784,019..788,588(+)",GPI1
PF3D7_0619000,"Pf3D7_06_v3:788,061..796,075(-)",N/A
PF3D7_0619000,"Pf3D7_06_v3:788,061..796,075(-)",N/A
PF3D7_0619100,"Pf3D7_06_v3:796,519..798,904(+)",N/A
PF3D7_0619200,"Pf3D7_06_v3:799,040..803,205(+)",N/A
PF3D7_0619300,"Pf3D7_06_v3:802,988..814,565(-)",N/A
PF3D7_0619400,"Pf3D7_06_v3:815,190..818,801(-)",N/A
PF3D7_0619500,"Pf3D7_06_v3:819,576..824,325(-)",ACS12
PF3D7_0619600,"Pf3D7_06_v3:824,758..828,098(+)",N/A
PF3D7_0619700,"Pf3D7_06_v3:828,122..830,389(-)",N/A
PF3D7_0619800,"Pf3D7_06_v3:830,916..839,790(-)",N/A
PF3D7_0619900,"Pf3D7_06_v3:839,748..841,672(+)",SF3A2
PF3D7_0620000,"Pf3D7_06_v3:841,846..843,363(-)",PIMMS43
PF3D7_0620100,"Pf3D7_06_v3:845,162..846,452(+)",ATPTG12
PF3D7_0620200,"Pf3D7_06_v3:846,523..848,013(-)",N/A
PF3D7_0620300,"Pf3D7_06_v3:848,035..850,864(-)",N/A
PF3D7_0620400,"Pf3D7_06_v3:851,162..853,200(-)",MSP10
PF3D7_0620500,"Pf3D7_06_v3:853,821..857,324(+)",N/A
PF3D7_0620600,"Pf3D7_06_v3:857,342..858,966(+)",N/A
PF3D7_0620700,"Pf3D7_06_v3:858,689..860,721(-)",N/A
PF3D7_0620800,"Pf3D7_06_v3:861,017..861,088(+)",N/A
PF3D7_0620900,"Pf3D7_06_v3:861,685..861,765(-)",N/A
PF3D7_0621000,"Pf3D7_06_v3:862,450..865,522(+)",ApSigma
PF3D7_0621100,"Pf3D7_06_v3:865,550..870,507(-)",N/A
PF3D7_0621200,"Pf3D7_06_v3:871,089..873,059(-)",PDX1
PF3D7_0621300,"Pf3D7_06_v3:873,178..877,670(+)",PUF3
PF3D7_0621350,"Pf3D7_06_v3:876,679..877,298(-)",SYS1
PF3D7_0621400,"Pf3D7_06_v3:878,363..880,852(+)",ALV7
PF3D7_0621500,"Pf3D7_06_v3:881,823..883,145(+)",RPP1
PF3D7_0621600,"Pf3D7_06_v3:883,563..883,644(-)",N/A
PF3D7_0621700,"Pf3D7_06_v3:884,024..890,267(+)",N/A
PF3D7_0621800,"Pf3D7_06_v3:890,901..892,882(+)",N/A
PF3D7_0621900,"Pf3D7_06_v3:892,883..896,208(-)",SRP68
PF3D7_0622000,"Pf3D7_06_v3:896,664..897,983(+)",N/A
PF3D7_0622100,"Pf3D7_06_v3:897,970..902,735(-)",N/A
PF3D7_0622200,"Pf3D7_06_v3:903,432..906,428(-)",MIAB
PF3D7_0622300,"Pf3D7_06_v3:907,610..911,239(+)",N/A
PF3D7_0622400,"Pf3D7_06_v3:911,283..912,177(+)",N/A
PF3D7_0622500,"Pf3D7_06_v3:912,197..914,142(-)",N/A
PF3D7_0622600,"Pf3D7_06_v3:914,409..915,450(+)",QCR9
PF3D7_0622700,"Pf3D7_06_v3:915,905..917,975(-)",N/A
PF3D7_0622800,"Pf3D7_06_v3:918,684..924,649(+)",N/A
PF3D7_0622900,"Pf3D7_06_v3:924,060..932,959(-)",AP2Tel
PF3D7_0623000,"Pf3D7_06_v3:936,298..938,735(-)",CS
PF3D7_0623100,"Pf3D7_06_v3:938,917..944,710(-)",NAB2
PF3D7_0623200,"Pf3D7_06_v3:945,100..947,629(+)",FNR
PF3D7_0623300,"Pf3D7_06_v3:947,121..949,262(-)",N/A
PF3D7_0623400,"Pf3D7_06_v3:950,223..951,506(-)",Mei2
PF3D7_0623500,"Pf3D7_06_v3:952,825..955,039(-)",SOD2
PF3D7_0623600,"Pf3D7_06_v3:955,547..958,868(+)",N/A
PF3D7_0623700,"Pf3D7_06_v3:958,885..962,607(-)",SUV3
PF3D7_0623800,"Pf3D7_06_v3:962,886..974,547(-)",TKL4
PF3D7_0623900,"Pf3D7_06_v3:977,162..978,525(+)",N/A
PF3D7_0624000,"Pf3D7_06_v3:980,208..983,258(+)",HK
PF3D7_0624100,"Pf3D7_06_v3:983,297..985,562(+)",N/A
PF3D7_0624200,"Pf3D7_06_v3:984,837..986,998(-)",N/A
PF3D7_0624300,"Pf3D7_06_v3:987,808..989,636(+)",N/A
PF3D7_0624400,"Pf3D7_06_v3:989,930..992,253(-)",N/A
PF3D7_0624500,"Pf3D7_06_v3:993,658..996,430(+)",APC11
PF3D7_0624600,"Pf3D7_06_v3:998,548..1,009,457(+)",ISWI
PF3D7_0624700,"Pf3D7_06_v3:1,008,978..1,010,796(-)",PIGL
PF3D7_0624800,"Pf3D7_06_v3:1,011,429..1,014,569(-)",N/A
PF3D7_0624900,"Pf3D7_06_v3:1,015,681..1,018,905(+)",N/A
PF3D7_0625000,"Pf3D7_06_v3:1,019,648..1,022,452(+)",SMS1
PF3D7_0625000,"Pf3D7_06_v3:1,019,648..1,022,452(+)",SMS1
PF3D7_0625100,"Pf3D7_06_v3:1,023,015..1,024,214(+)",SMS2
PF3D7_0625200,"Pf3D7_06_v3:1,024,810..1,026,740(+)",N/A
PF3D7_0625300,"Pf3D7_06_v3:1,026,468..1,031,411(-)",MtDNAP
PF3D7_0625400,"Pf3D7_06_v3:1,031,969..1,034,471(-)",N/A
PF3D7_0625500,"Pf3D7_06_v3:1,034,313..1,037,552(+)",N/A
PF3D7_0625600,"Pf3D7_06_v3:1,037,558..1,042,004(+)",PAP
PF3D7_0625700,"Pf3D7_06_v3:1,042,132..1,043,395(-)",N/A
PF3D7_0625800,"Pf3D7_06_v3:1,043,400..1,045,953(+)",N/A
PF3D7_0625900,"Pf3D7_06_v3:1,046,986..1,048,052(+)",N/A
PF3D7_0626000,"Pf3D7_06_v3:1,048,453..1,055,207(-)",N/A
PF3D7_0626100,"Pf3D7_06_v3:1,055,904..1,058,812(+)",N/A
PF3D7_0626200,"Pf3D7_06_v3:1,058,496..1,060,180(-)",N/A
PF3D7_0626300,"Pf3D7_06_v3:1,061,115..1,062,891(-)",FabB/FabF
PF3D7_0626400,"Pf3D7_06_v3:1,064,859..1,068,640(+)",N/A
PF3D7_0626500,"Pf3D7_06_v3:1,069,962..1,072,805(+)",CEP135
PF3D7_0626600,"Pf3D7_06_v3:1,073,363..1,074,436(-)",N/A
PF3D7_0626700,"Pf3D7_06_v3:1,074,341..1,076,871(+)",N/A
PF3D7_0626800,"Pf3D7_06_v3:1,078,020..1,082,073(+)",PyrK
PF3D7_0626840,"Pf3D7_06_v3:1,080,331..1,080,559(+)",N/A
PF3D7_0626900,"Pf3D7_06_v3:1,082,531..1,084,389(+)",N/A
PF3D7_0627000,"Pf3D7_06_v3:1,084,110..1,087,609(-)",N/A
PF3D7_0627100,"Pf3D7_06_v3:1,087,078..1,094,389(+)",N/A
PF3D7_0627200,"Pf3D7_06_v3:1,094,737..1,096,373(-)",PLC5
PF3D7_0627300,"Pf3D7_06_v3:1,096,654..1,098,696(-)",RNF5
PF3D7_0627400,"Pf3D7_06_v3:1,099,753..1,100,995(-)",TIM22
PF3D7_0627500,"Pf3D7_06_v3:1,100,997..1,103,240(-)",DJ1
PF3D7_0627600,"Pf3D7_06_v3:1,103,388..1,105,825(+)",N/A
PF3D7_0627700,"Pf3D7_06_v3:1,105,837..1,113,416(+)",N/A
PF3D7_0627800,"Pf3D7_06_v3:1,113,448..1,117,623(-)",ACAS
PF3D7_0627900,"Pf3D7_06_v3:1,118,231..1,121,193(+)",POP4
PF3D7_0628000,"Pf3D7_06_v3:1,121,527..1,122,523(+)",PTPS
PF3D7_0628100,"Pf3D7_06_v3:1,122,322..1,154,481(-)",HECT1
PF3D7_0628200,"Pf3D7_06_v3:1,158,605..1,169,668(+)",PK4
PF3D7_0628300,"Pf3D7_06_v3:1,169,270..1,174,371(-)",CEPT
PF3D7_0628400,"Pf3D7_06_v3:1,175,869..1,178,588(+)",N/A
PF3D7_0628500,"Pf3D7_06_v3:1,178,630..1,180,100(-)",N/A
PF3D7_0628600,"Pf3D7_06_v3:1,180,102..1,182,381(-)",DMAP1
PF3D7_0628700,"Pf3D7_06_v3:1,183,134..1,185,887(+)",N/A
PF3D7_0628800,"Pf3D7_06_v3:1,184,868..1,189,014(-)",GATB
PF3D7_0628900,"Pf3D7_06_v3:1,189,472..1,193,978(+)",N/A
PF3D7_0629000,"Pf3D7_06_v3:1,194,304..1,195,217(-)",GNA1
PF3D7_0629100,"Pf3D7_06_v3:1,195,429..1,198,332(-)",NAPRT
PF3D7_0629200,"Pf3D7_06_v3:1,198,354..1,202,056(-)",N/A
PF3D7_0629300,"Pf3D7_06_v3:1,204,859..1,208,175(+)",PL
PF3D7_0629400,"Pf3D7_06_v3:1,209,083..1,213,867(+)",PABP3
PF3D7_0629500,"Pf3D7_06_v3:1,213,102..1,217,313(-)",AAT1
PF3D7_0629600,"Pf3D7_06_v3:1,217,321..1,219,766(+)",N/A
PF3D7_0629700,"Pf3D7_06_v3:1,221,309..1,243,267(+)",SET1
PF3D7_0629800,"Pf3D7_06_v3:1,243,321..1,247,814(-)",N/A
PF3D7_0629900,"Pf3D7_06_v3:1,248,188..1,251,651(+)",N/A
PF3D7_0630000,"Pf3D7_06_v3:1,252,052..1,253,985(-)",N/A
PF3D7_0630100,"Pf3D7_06_v3:1,254,330..1,256,987(-)",N/A
PF3D7_0630200,"Pf3D7_06_v3:1,258,880..1,259,939(+)",PSOP6
PF3D7_0630300,"Pf3D7_06_v3:1,260,163..1,270,722(-)",N/A
PF3D7_0630400,"Pf3D7_06_v3:1,271,808..1,274,009(-)",N/A
PF3D7_0630500,"Pf3D7_06_v3:1,275,505..1,278,363(+)",YTM1
PF3D7_0630600,"Pf3D7_06_v3:1,279,742..1,283,475(+)",N/A
PF3D7_0630700,"Pf3D7_06_v3:1,284,439..1,287,109(+)",N/A
PF3D7_0630800,"Pf3D7_06_v3:1,288,066..1,290,942(+)",N/A
PF3D7_0630900,"Pf3D7_06_v3:1,290,623..1,293,448(-)",HAS1
PF3D7_0631000,"Pf3D7_06_v3:1,293,965..1,296,496(+)",N/A
PF3D7_0631100,"Pf3D7_06_v3:1,297,376..1,300,414(+)",N/A
PF3D7_0631200,"Pf3D7_06_v3:1,313,808..1,315,236(-)",VAR
PF3D7_0631300,"Pf3D7_06_v3:1,316,873..1,317,721(+)",EPF1
PF3D7_0631400,"Pf3D7_06_v3:1,318,327..1,319,116(-)",MC-2TM
PF3D7_0631500,"Pf3D7_06_v3:1,321,320..1,322,094(-)",EPF3
PF3D7_0631600,"Pf3D7_06_v3:1,323,294..1,324,435(+)",EPF4
PF3D7_0631700,"Pf3D7_06_v3:1,326,737..1,327,918(+)",N/A
PF3D7_0631800,"Pf3D7_06_v3:1,329,771..1,330,963(+)",RIF
PF3D7_0631900,"Pf3D7_06_v3:1,333,013..1,334,035(+)",N/A
PF3D7_0632000,"Pf3D7_06_v3:1,336,146..1,337,473(+)",RIF
PF3D7_0632100,"Pf3D7_06_v3:1,338,218..1,339,417(-)",RIF
PF3D7_0632200,"Pf3D7_06_v3:1,341,307..1,342,595(-)",RIF
PF3D7_0632250,"Pf3D7_06_v3:1,345,452..1,345,655(+)",N/A
PF3D7_0632300,"Pf3D7_06_v3:1,347,341..1,348,571(+)",RIF
PF3D7_0632400,"Pf3D7_06_v3:1,350,724..1,352,087(+)",RIF
PF3D7_0632500,"Pf3D7_06_v3:1,353,946..1,366,430(-)",VAR
PF3D7_0632600,"Pf3D7_06_v3:1,367,912..1,369,107(+)",RIF
PF3D7_0632700,"Pf3D7_06_v3:1,371,501..1,372,861(+)",RIF
PF3D7_0632800,"Pf3D7_06_v3:1,374,797..1,382,627(-)",VAR
PF3D7_0700100,"Pf3D7_07_v3:20,307..28,083(+)",VAR
PF3D7_0700200,"Pf3D7_07_v3:30,097..31,269(+)",RIF
PF3D7_0700300,"Pf3D7_07_v3:33,585..34,804(-)",RIF
PF3D7_0700400,"Pf3D7_07_v3:36,922..37,927(-)",N/A
PF3D7_0700500,"Pf3D7_07_v3:40,288..41,453(-)",RIF
PF3D7_0700600,"Pf3D7_07_v3:43,192..44,140(-)",N/A
PF3D7_0700700,"Pf3D7_07_v3:45,559..46,607(+)",N/A
PF3D7_0700800,"Pf3D7_07_v3:47,992..49,535(+)",MC-2TM
PF3D7_0700900,"Pf3D7_07_v3:49,779..50,832(-)",EPF1
PF3D7_0701000,"Pf3D7_07_v3:52,086..53,636(+)",N/A
PF3D7_0701100,"Pf3D7_07_v3:55,562..56,781(-)",RIF
PF3D7_0701200,"Pf3D7_07_v3:59,277..60,366(-)",RIF
PF3D7_0701300,"Pf3D7_07_v3:62,220..63,401(-)",RIF
PF3D7_0701400,"Pf3D7_07_v3:65,718..66,854(-)",EPF4
PF3D7_0701500,"Pf3D7_07_v3:68,066..68,840(+)",EPF3
PF3D7_0701600,"Pf3D7_07_v3:70,781..72,205(+)",MC-2TM
PF3D7_0701700,"Pf3D7_07_v3:72,477..73,325(-)",EPF1
PF3D7_0701800,"Pf3D7_07_v3:75,918..77,055(-)",RIF
PF3D7_0701900,"Pf3D7_07_v3:79,450..83,835(-)",N/A
PF3D7_0702000,"Pf3D7_07_v3:83,838..86,436(+)",N/A
PF3D7_0702100,"Pf3D7_07_v3:88,685..90,886(+)",N/A
PF3D7_0702200,"Pf3D7_07_v3:91,731..95,602(-)",LPL20
PF3D7_0702300,"Pf3D7_07_v3:95,444..99,176(+)",STARP
PF3D7_0702400,"Pf3D7_07_v3:100,338..103,399(+)",SEMP1
PF3D7_0702500,"Pf3D7_07_v3:104,012..106,731(-)",N/A
PF3D7_0702600,"Pf3D7_07_v3:109,915..110,178(+)",N/A
PF3D7_0702700,"Pf3D7_07_v3:111,473..111,545(-)",N/A
PF3D7_0702800,"Pf3D7_07_v3:112,049..112,132(+)",N/A
PF3D7_0702900,"Pf3D7_07_v3:112,576..114,405(-)",N/A
PF3D7_0703000,"Pf3D7_07_v3:115,122..120,892(+)",N/A
PF3D7_0703100,"Pf3D7_07_v3:121,061..122,407(+)",CIA2
PF3D7_0703200,"Pf3D7_07_v3:122,013..127,441(-)",N/A
PF3D7_0703300,"Pf3D7_07_v3:128,111..129,083(+)",N/A
PF3D7_0703400,"Pf3D7_07_v3:129,160..132,186(-)",N/A
PF3D7_0703500,"Pf3D7_07_v3:133,470..143,247(+)",N/A
PF3D7_0703600,"Pf3D7_07_v3:143,601..146,565(+)",N/A
PF3D7_0703700,"Pf3D7_07_v3:146,573..148,237(-)",N/A
PF3D7_0703800,"Pf3D7_07_v3:149,804..152,980(+)",N/A
PF3D7_0703900,"Pf3D7_07_v3:153,119..167,024(-)",N/A
PF3D7_0704000,"Pf3D7_07_v3:167,240..177,537(-)",N/A
PF3D7_0704100,"Pf3D7_07_v3:179,797..191,155(+)",BTP2
PF3D7_0704200,"Pf3D7_07_v3:190,990..195,252(-)",NSUN1
PF3D7_0704300,"Pf3D7_07_v3:196,266..203,802(+)",BLEB
PF3D7_0704400,"Pf3D7_07_v3:204,333..208,447(+)",N/A
PF3D7_0704500,"Pf3D7_07_v3:207,891..213,784(-)",N/A
PF3D7_0704600,"Pf3D7_07_v3:214,949..230,713(-)",UT
PF3D7_0704700,"Pf3D7_07_v3:232,362..237,763(+)",PPAT
PF3D7_0704800,"Pf3D7_07_v3:237,810..242,106(-)",PPM12
PF3D7_0704900,"Pf3D7_07_v3:243,898..245,016(-)",RF2
PF3D7_0705000,"Pf3D7_07_v3:245,497..250,602(-)",N/A
PF3D7_0705100,"Pf3D7_07_v3:251,976..255,484(+)",N/A
PF3D7_0705200,"Pf3D7_07_v3:255,871..260,931(+)",N/A
PF3D7_0705300,"Pf3D7_07_v3:261,340..264,630(+)",ORC2
PF3D7_0705400,"Pf3D7_07_v3:264,682..267,876(-)",MCM7
PF3D7_0705500,"Pf3D7_07_v3:269,635..280,332(-)",N/A
PF3D7_0705600,"Pf3D7_07_v3:280,570..284,888(-)",N/A
PF3D7_0705700,"Pf3D7_07_v3:285,012..286,963(-)",N/A
PF3D7_0705800,"Pf3D7_07_v3:287,597..289,088(-)",CRISP
PF3D7_0705900,"Pf3D7_07_v3:289,460..291,545(-)",N/A
PF3D7_0706000,"Pf3D7_07_v3:292,228..297,493(+)",N/A
PF3D7_0706100,"Pf3D7_07_v3:297,233..303,776(-)",N/A
PF3D7_0706200,"Pf3D7_07_v3:303,964..305,242(+)",N/A
PF3D7_0706300,"Pf3D7_07_v3:305,264..306,466(+)",AKIT11
PF3D7_0706400,"Pf3D7_07_v3:306,475..308,427(-)",RPL37
PF3D7_0706500,"Pf3D7_07_v3:309,725..316,861(-)",N/A
PF3D7_0706600,"Pf3D7_07_v3:319,757..322,639(+)",N/A
PF3D7_0706700,"Pf3D7_07_v3:322,907..325,528(+)",MSH2-2
PF3D7_0706800,"Pf3D7_07_v3:326,072..326,144(+)",N/A
PF3D7_0706900,"Pf3D7_07_v3:326,726..326,797(-)",N/A
PF3D7_0707000,"Pf3D7_07_v3:327,865..327,937(+)",N/A
PF3D7_0707100,"Pf3D7_07_v3:329,012..329,084(-)",N/A
PF3D7_0707200,"Pf3D7_07_v3:329,719..336,587(-)",N/A
PF3D7_0707300,"Pf3D7_07_v3:337,720..343,059(+)",RAMA
PF3D7_0707400,"Pf3D7_07_v3:343,620..346,688(+)",ATAD3A
PF3D7_0707420,"Pf3D7_07_v3:383,172..383,519(+)",N/A
PF3D7_0707500,"Pf3D7_07_v3:347,664..353,625(+)",N/A
PF3D7_0707600,"Pf3D7_07_v3:353,757..355,465(+)",MED10
PF3D7_0707700,"Pf3D7_07_v3:356,174..360,641(+)",N/A
PF3D7_0707800,"Pf3D7_07_v3:360,813..365,795(+)",N/A
PF3D7_0707900,"Pf3D7_07_v3:366,092..368,080(+)",N/A
PF3D7_0708000,"Pf3D7_07_v3:368,274..372,081(+)",N/A
PF3D7_0708100,"Pf3D7_07_v3:372,302..373,569(-)",RPB10
PF3D7_0708200,"Pf3D7_07_v3:374,243..377,393(-)",N/A
PF3D7_0708300,"Pf3D7_07_v3:377,674..379,642(+)",BUD32
PF3D7_0708400,"Pf3D7_07_v3:380,449..385,546(+)",HSP90
PF3D7_0708500,"Pf3D7_07_v3:385,186..388,646(-)",N/A
PF3D7_0708600,"Pf3D7_07_v3:389,473..390,365(-)",IMC1d
PF3D7_0708700,"Pf3D7_07_v3:390,832..392,770(-)",COX4
PF3D7_0708800,"Pf3D7_07_v3:393,813..399,112(+)",HSP110c
PF3D7_0708900,"Pf3D7_07_v3:398,963..400,872(-)",SCO1
PF3D7_0709000,"Pf3D7_07_v3:402,385..406,341(+)",CRT
PF3D7_0709050,"Pf3D7_07_v3:406,820..407,448(-)",N/A
PF3D7_0709100,"Pf3D7_07_v3:407,818..412,040(+)",N/A
PF3D7_0709200,"Pf3D7_07_v3:412,092..413,161(-)",GLP3
PF3D7_0709300,"Pf3D7_07_v3:413,560..422,436(-)",MED14
PF3D7_0709400,"Pf3D7_07_v3:422,674..427,278(-)",N/A
PF3D7_0709500,"Pf3D7_07_v3:427,513..429,738(+)",N/A
PF3D7_0709600,"Pf3D7_07_v3:429,537..433,997(-)",POP1
PF3D7_0709700,"Pf3D7_07_v3:434,748..436,518(-)",PARE
PF3D7_0709800,"Pf3D7_07_v3:437,183..438,431(+)",N/A
PF3D7_0709900,"Pf3D7_07_v3:438,115..445,951(-)",N/A
PF3D7_0710000,"Pf3D7_07_v3:447,209..458,876(-)",SLP
PF3D7_0710100,"Pf3D7_07_v3:459,688..461,959(+)",N/A
PF3D7_0710200,"Pf3D7_07_v3:462,183..472,293(+)",N/A
PF3D7_0710300,"Pf3D7_07_v3:472,306..474,069(-)",N/A
PF3D7_0710400,"Pf3D7_07_v3:474,350..475,968(+)",RAD14
PF3D7_0710500,"Pf3D7_07_v3:475,796..477,592(-)",N/A
PF3D7_0710600,"Pf3D7_07_v3:478,345..479,945(-)",RPL34
PF3D7_0710700,"Pf3D7_07_v3:480,710..482,347(-)",N/A
PF3D7_0710800,"Pf3D7_07_v3:482,351..484,169(-)",USE1
PF3D7_0710900,"Pf3D7_07_v3:484,253..486,321(+)",RPL1
PF3D7_0711000,"Pf3D7_07_v3:486,497..491,719(-)",CDC48
PF3D7_0711100,"Pf3D7_07_v3:491,933..494,421(-)",N/A
PF3D7_0711200,"Pf3D7_07_v3:494,948..498,596(+)",N/A
PF3D7_0711300,"Pf3D7_07_v3:499,135..500,245(+)",N/A
PF3D7_0711400,"Pf3D7_07_v3:500,019..503,352(-)",SAP18
PF3D7_0711500,"Pf3D7_07_v3:504,540..507,864(+)",N/A
PF3D7_0711600,"Pf3D7_07_v3:508,474..508,608(+)",N/A
PF3D7_0711700,"Pf3D7_07_v3:511,950..519,425(-)",VAR
PF3D7_0711800,"Pf3D7_07_v3:523,147..523,281(+)",N/A
PF3D7_0711900,"Pf3D7_07_v3:525,063..526,320(-)",RIF
PF3D7_0712000,"Pf3D7_07_v3:527,338..535,131(-)",VAR
PF3D7_0712100,"Pf3D7_07_v3:538,520..538,654(+)",N/A
PF3D7_0712200,"Pf3D7_07_v3:540,343..541,541(-)",RIF
PF3D7_0712300,"Pf3D7_07_v3:542,906..550,520(-)",VAR
PF3D7_0712400,"Pf3D7_07_v3:552,158..559,078(-)",VAR
PF3D7_0712500,"Pf3D7_07_v3:562,906..564,160(-)",RIF
PF3D7_0712600,"Pf3D7_07_v3:566,726..574,308(-)",VAR
PF3D7_0712700,"Pf3D7_07_v3:577,945..578,079(+)",N/A
PF3D7_0712800,"Pf3D7_07_v3:581,386..588,923(-)",VAR
PF3D7_0712900,"Pf3D7_07_v3:590,326..597,733(-)",VAR
PF3D7_0713000,"Pf3D7_07_v3:602,141..603,381(+)",RIF
PF3D7_0713100,"Pf3D7_07_v3:605,369..606,780(+)",MC-2TM
PF3D7_0713200,"Pf3D7_07_v3:606,547..608,612(-)",EPF1
PF3D7_0713300,"Pf3D7_07_v3:609,297..610,522(+)",VAR
PF3D7_0713400,"Pf3D7_07_v3:612,059..613,810(+)",SR25
PF3D7_0713500,"Pf3D7_07_v3:613,821..617,804(+)",N/A
PF3D7_0713600,"Pf3D7_07_v3:617,889..621,078(+)",N/A
PF3D7_0713700,"Pf3D7_07_v3:621,090..623,717(-)",N/A
PF3D7_0713800,"Pf3D7_07_v3:623,870..625,625(-)",NELFA
PF3D7_0713900,"Pf3D7_07_v3:626,391..641,230(-)",N/A
PF3D7_0714000,"Pf3D7_07_v3:642,200..643,997(-)",H2B.Z
PF3D7_0714100,"Pf3D7_07_v3:646,719..648,767(-)",N/A
PF3D7_0714200,"Pf3D7_07_v3:650,460..655,136(+)",N/A
PF3D7_0714300,"Pf3D7_07_v3:656,565..662,123(+)",DHHC4
PF3D7_0714400,"Pf3D7_07_v3:662,068..664,084(-)",N/A
PF3D7_0714500,"Pf3D7_07_v3:664,252..667,474(+)",N/A
PF3D7_0714600,"Pf3D7_07_v3:667,505..670,119(+)",N/A
PF3D7_0714700,"Pf3D7_07_v3:670,795..670,866(+)",N/A
PF3D7_0714800,"Pf3D7_07_v3:671,656..671,735(+)",N/A
PF3D7_0714900,"Pf3D7_07_v3:672,735..672,816(-)",N/A
PF3D7_0715000,"Pf3D7_07_v3:673,042..674,476(+)",PNPase
PF3D7_0715100,"Pf3D7_07_v3:674,505..675,251(-)",MYCBP
PF3D7_0715200,"Pf3D7_07_v3:675,522..682,899(-)",N/A
PF3D7_0715300,"Pf3D7_07_v3:683,130..686,996(-)",N/A
PF3D7_0715400,"Pf3D7_07_v3:687,618..689,135(-)",PSOP20
PF3D7_0715500,"Pf3D7_07_v3:689,176..690,393(-)",N/A
PF3D7_0715600,"Pf3D7_07_v3:690,902..693,820(+)",N/A
PF3D7_0715700,"Pf3D7_07_v3:694,095..695,200(+)",N/A
PF3D7_0715800,"Pf3D7_07_v3:695,091..697,180(-)",DMT1
PF3D7_0715900,"Pf3D7_07_v3:697,965..701,574(+)",CDF
PF3D7_0716000,"Pf3D7_07_v3:702,601..706,721(+)",N/A
PF3D7_0716100,"Pf3D7_07_v3:706,991..711,199(-)",SDA1
PF3D7_0716200,"Pf3D7_07_v3:711,820..715,046(+)",N/A
